Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;;;;;;;;;Ausländer;;;;;;;;;;;;;
;männlich;;;;;;;weiblich;;;;;;;männlich;;;;;;;weiblich;;;;;;
;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unter 1 Jahr;295565;-;-;-;-;-;-;280013;-;-;-;-;-;-;50146;-;-;-;-;-;-;47656;-;-;-;-;-;-
1-Jährige;301391;-;-;-;-;-;-;286690;-;-;-;-;-;-;57933;-;-;-;-;-;-;54926;-;-;-;-;-;-
2-Jährige;321736;-;-;-;-;-;-;305550;-;-;-;-;-;-;60001;-;-;-;-;-;-;56875;-;-;-;-;-;-
3-Jährige;348812;-;-;-;-;-;-;331944;-;-;-;-;-;-;59776;-;-;-;-;-;-;56498;-;-;-;-;-;-
4-Jährige;341472;-;-;-;-;-;-;323844;-;-;-;-;-;-;60469;-;-;-;-;-;-;57831;-;-;-;-;-;-
5-Jährige;343227;-;-;-;-;-;-;326274;-;-;-;-;-;-;63107;-;-;-;-;-;-;59934;-;-;-;-;-;-
6-Jährige;349090;-;-;-;-;-;-;333276;-;-;-;-;-;-;63698;-;-;-;-;-;-;60359;-;-;-;-;-;-
7-Jährige;353129;-;-;-;-;-;-;336884;-;-;-;-;-;-;64829;-;-;-;-;-;-;61176;-;-;-;-;-;-
8-Jährige;355781;-;-;-;-;-;-;340592;-;-;-;-;-;-;65687;-;-;-;-;-;-;62350;-;-;-;-;-;-
9-Jährige;347829;-;-;-;-;-;-;331091;-;-;-;-;-;-;64099;-;-;-;-;-;-;59154;-;-;-;-;-;-
10-Jährige;345654;-;-;-;-;-;-;329302;-;-;-;-;-;-;63050;-;-;-;-;-;-;59358;-;-;-;-;-;-
11-Jährige;335031;-;-;-;-;-;-;318853;-;-;-;-;-;-;60662;-;-;-;-;-;-;56460;-;-;-;-;-;-
12-Jährige;335137;-;-;-;-;-;-;318356;-;-;-;-;-;-;61611;-;-;-;-;-;-;56636;-;-;-;-;-;-
13-Jährige;330951;-;-;-;-;-;-;315287;-;-;-;-;-;-;59618;-;-;-;-;-;-;54205;-;-;-;-;-;-
14-Jährige;339828;-;-;-;-;-;-;324162;-;-;-;-;-;-;60617;-;-;-;-;-;-;54422;-;-;1;-;-;-
15-Jährige;335314;-;-;-;-;-;-;318408;-;-;-;-;-;-;61673;-;-;-;-;-;-;54062;-;-;-;-;-;-
16-Jährige;344345;-;-;-;-;-;-;328636;-;-;-;-;-;-;65706;-;-;-;-;-;-;53652;2;-;-;-;-;-
17-Jährige;345342;-;-;-;-;-;-;328364;-;-;1;-;-;-;69419;1;-;-;-;-;-;50206;15;-;1;-;-;-
18-Jährige;340684;54;1;1;-;-;-;323608;271;1;1;-;-;-;76596;37;7;-;-;-;-;51280;352;6;2;-;-;-
19-Jährige;345908;261;-;4;-;-;-;329671;1102;1;5;-;-;-;82180;161;10;1;-;-;-;57494;1179;14;8;-;-;-
20-Jährige;350386;758;-;13;-;-;-;333645;2615;5;17;-;-;-;87404;458;13;6;-;-;-;65543;2415;16;22;-;-;-
