GENESIS-Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2000;unter 1 Jahr;372014;-;-;-;-;-;-;353214;-;-;-;-;-;-;20984;-;-;-;-;-;-;20342;-;-;-;-;-;-
31.12.2000;1-Jährige;350988;-;-;-;-;-;-;331691;-;-;-;-;-;-;46205;-;-;-;-;-;-;44056;-;-;-;-;-;-
31.12.2000;2-Jährige;356860;-;-;-;-;-;-;338995;-;-;-;-;-;-;48298;-;-;-;-;-;-;45613;-;-;-;-;-;-
31.12.2000;3-Jährige;368062;-;-;-;-;-;-;349491;-;-;-;-;-;-;49967;-;-;-;-;-;-;47154;-;-;-;-;-;-
31.12.2000;4-Jährige;362302;-;-;-;-;-;-;342989;-;-;-;-;-;-;48500;-;-;-;-;-;-;46119;-;-;-;-;-;-
31.12.2000;5-Jährige;350815;-;-;-;-;-;-;332771;-;-;-;-;-;-;46007;-;-;-;-;-;-;44147;-;-;-;-;-;-
31.12.2000;6-Jährige;354697;-;-;-;-;-;-;335672;-;-;-;-;-;-;47432;-;-;-;-;-;-;45001;-;-;-;-;-;-
31.12.2000;7-Jährige;369421;-;-;-;-;-;-;350337;-;-;-;-;-;-;48597;-;-;-;-;-;-;46238;-;-;-;-;-;-
31.12.2000;8-Jährige;378125;-;-;-;-;-;-;360298;-;-;-;-;-;-;49453;-;-;-;-;-;-;46890;-;-;-;-;-;-
31.12.2000;9-Jährige;396088;-;-;-;-;-;-;376601;-;-;-;-;-;-;48732;-;-;-;-;-;-;46023;-;-;-;-;-;-
31.12.2000;10-Jährige;441108;-;-;-;-;-;-;418171;-;-;-;-;-;-;49490;-;-;-;-;-;-;46630;-;-;-;-;-;-
31.12.2000;11-Jährige;435033;-;-;-;-;-;-;413863;-;-;-;-;-;-;49241;-;-;-;-;-;-;46864;-;-;-;-;-;-
31.12.2000;12-Jährige;449700;-;-;-;-;-;-;426551;-;-;-;-;-;-;49585;-;-;-;-;-;-;46269;-;-;-;-;-;-
31.12.2000;13-Jährige;441777;-;-;-;-;-;-;417683;-;-;-;-;-;-;47729;-;-;-;-;-;-;44604;-;-;-;-;-;-
31.12.2000;14-Jährige;434938;-;-;-;-;-;-;413923;-;-;-;-;-;-;45023;-;-;-;-;-;-;41871;-;-;-;-;-;-
31.12.2000;15-Jährige;420350;-;-;-;-;-;-;400194;17;5;3;-;-;-;43689;-;-;-;-;-;-;40634;119;2;1;-;-;-
31.12.2000;16-Jährige;419676;1;2;-;-;-;-;398688;82;6;3;-;-;-;45027;16;1;-;-;-;-;40297;496;4;1;-;-;-
31.12.2000;17-Jährige;422741;6;1;-;-;-;-;402431;496;8;7;-;-;-;46372;79;1;1;-;-;-;40125;1356;2;4;-;-;-
31.12.2000;18-Jährige;432895;302;-;7;-;-;-;408669;3390;15;15;-;-;-;49984;441;-;4;-;-;-;42861;3427;9;17;-;-;-
31.12.2000;19-Jährige;427032;1340;6;12;-;-;-;401784;9426;27;67;-;-;-;53783;1387;3;15;-;-;-;45668;6824;20;58;-;-;-
31.12.2000;20-Jährige;427101;3879;8;49;-;-;-;395340;18254;52;292;-;-;-;56606;2735;8;37;-;-;-;48150;10712;26;157;-;-;-
31.12.2000;21-Jährige;399990;7992;13;123;-;-;-;361509;28922;71;724;-;-;-;56581;4750;15;124;-;-;-;47802;13904;62;275;-;-;-
31.12.2000;22-Jährige;387936;14184;27;307;-;-;-;342390;42018;127;1485;-;-;-;58673;7176;14;255;-;-;-;47579;17614;72;483;-;-;-
31.12.2000;23-Jährige;375285;22128;43;701;-;-;-;322257;57624;203;2490;-;-;-;59537;10599;28;437;-;-;-;47898;21528;130;702;-;-;-
31.12.2000;24-Jährige;354923;32217;29;1195;-;-;-;296022;75206;230;3993;-;-;-;63063;14149;32;707;-;-;-;48301;24770;135;1092;-;-;-
31.12.2000;25-Jährige;329716;43869;80;1879;-;-;-;262157;93216;340;5793;-;-;-;64799;17790;70;1084;-;-;-;47856;28582;172;1411;-;-;-
31.12.2000;26-Jährige;319518;58746;88;3054;-;-;-;244840;116287;460;7871;-;-;-;63752;21407;86;1501;-;-;-;45844;32716;250;1825;-;-;-
31.12.2000;27-Jährige;306195;77636;113;4700;-;-;-;224043;140958;570;10644;-;-;-;62932;23795;95;1977;-;-;-;45315;34497;293;2211;-;-;-
31.12.2000;28-Jährige;321099;108338;168;7311;-;-;-;225225;180259;797;14971;-;-;-;61848;27152;126;2571;-;-;-;42966;37158;351;2546;-;-;-
31.12.2000;29-Jährige;336882;148465;247;11088;-;-;-;228498;226515;1099;21059;-;-;-;59260;29312;132;3009;-;-;-;40039;38553;360;2822;-;-;-
31.12.2000;30-Jährige;325000;181947;331;15279;-;-;-;210864;264563;1418;26152;-;-;-;60659;31845;160;3926;-;-;-;36986;41019;407;3031;-;-;-
31.12.2000;31-Jährige;322297;229613;448;21388;-;-;-;202153;313027;1855;33240;-;-;-;55213;34402;227;4534;-;-;-;33294;41550;468;3142;-;-;-
31.12.2000;32-Jährige;310804;270923;659;27162;-;-;-;191904;350992;2189;40384;-;-;-;50443;36727;268;5012;-;-;-;28543;42354;508;3327;-;-;-
31.12.2000;33-Jährige;288046;311550;793;33434;-;-;-;177267;382865;2733;46923;-;-;-;42815;37430;284;5267;-;-;-;22574;42187;591;3554;-;-;-
31.12.2000;34-Jährige;265037;347492;1044;40079;-;-;-;162695;409276;3477;53619;-;-;-;41175;40993;300;5658;-;-;-;19449;44102;648;3845;-;-;-
31.12.2000;35-Jährige;242633;371117;1230;46647;-;-;-;146173;424193;4406;58907;-;-;-;37150;44600;350;6462;-;-;-;16489;45229;726;3693;-;-;-
31.12.2000;36-Jährige;224574;397397;1452;53517;-;-;-;135077;445054;5139;65891;-;-;-;32232;46539;383;6143;-;-;-;13448;44957;776;4002;-;-;-
31.12.2000;37-Jährige;203744;412471;1693;58741;-;-;-;121886;455063;6041;69793;-;-;-;26363;47240;406;6299;-;-;-;10834;43111;786;3693;-;-;-
31.12.2000;38-Jährige;179938;414448;1987;61784;-;-;-;106455;451447;6869;71593;-;-;-;22270;44998;376;6468;-;-;-;8796;41915;841;3905;-;-;-
31.12.2000;39-Jährige;163213;423314;2018;65660;-;-;-;95239;457067;8122;74254;-;-;-;17324;40953;387;6084;-;-;-;6892;38841;857;3763;-;-;-
31.12.2000;40-Jährige;145242;417435;2364;66385;-;-;-;83997;447631;9365;73791;-;-;-;16758;44502;488;6738;-;-;-;6221;41272;1105;4028;-;-;-
31.12.2000;41-Jährige;127218;420195;2558;67877;-;-;-;73288;442142;9954;73780;-;-;-;12982;40964;367;6181;-;-;-;5366;37879;1016;3699;-;-;-
31.12.2000;42-Jährige;113039;405302;2921;65175;-;-;-;64869;423021;10712;70459;-;-;-;11315;40783;480;6227;-;-;-;4613;36401;1013;3766;-;-;-
31.12.2000;43-Jährige;101524;406264;3271;65475;-;-;-;59446;418526;12080;70644;-;-;-;9019;40596;481;6277;-;-;-;3930;35032;1208;3584;-;-;-
31.12.2000;44-Jährige;92291;399947;3578;64240;-;-;-;53834;410211;13027;69537;-;-;-;7995;41932;537;6346;-;-;-;3824;36510;1304;3843;-;-;-
31.12.2000;45-Jährige;83034;395537;3815;63147;-;-;-;48940;400296;14455;68114;-;-;-;7055;39214;548;5700;-;-;-;3287;37419;1477;3992;-;-;-
31.12.2000;46-Jährige;76157;394802;4158;62974;-;-;-;45454;397623;15748;68669;-;-;-;5994;35711;552;5455;-;-;-;3147;37823;1586;3942;-;-;-
31.12.2000;47-Jährige;69290;387635;4583;61729;-;-;-;41404;388968;17191;67411;-;-;-;4993;32993;497;4828;-;-;-;2770;36823;1563;3804;-;-;-
31.12.2000;48-Jährige;65035;393349;5015;60531;-;-;-;38536;390180;19377;67036;-;-;-;5001;33669;494;4962;-;-;-;2897;39151;1818;4087;-;-;-
31.12.2000;49-Jährige;59638;391118;5335;59273;-;-;-;35094;386312;21182;66282;-;-;-;4158;33024;518;4686;-;-;-;2606;35949;1771;3916;-;-;-
31.12.2000;50-Jährige;57029;392991;6117;58410;-;-;-;33070;386270;23939;65076;-;-;-;4210;38185;708;5023;-;-;-;2751;40462;2425;4032;-;-;-
31.12.2000;51-Jährige;50182;385687;6452;55777;-;-;-;29010;374975;25542;61453;-;-;-;3998;39190;710;4579;-;-;-;2430;38017;2253;3836;-;-;-
31.12.2000;52-Jährige;43474;354866;6440;50634;-;-;-;25434;342446;26185;56182;-;-;-;3742;40228;771;4610;-;-;-;2283;36060;2422;3666;-;-;-
31.12.2000;53-Jährige;38244;333502;6733;46931;-;-;-;22129;325682;27290;52166;-;-;-;3400;41091;711;4219;-;-;-;2043;33695;2410;3368;-;-;-
31.12.2000;54-Jährige;33001;291201;6614;41074;-;-;-;18751;284948;26687;45485;-;-;-;2931;38082;769;3876;-;-;-;1724;29772;2424;2963;-;-;-
31.12.2000;55-Jährige;28289;256047;6577;35834;-;-;-;16854;252573;26223;40792;-;-;-;2638;34693;756;3232;-;-;-;1484;26943;2377;2637;-;-;-
31.12.2000;56-Jährige;36734;358521;9708;46275;-;-;-;21653;347135;38113;53446;-;-;-;2463;32869;823;3046;-;-;-;1405;24752;2506;2404;-;-;-
31.12.2000;57-Jährige;37028;368599;11088;45724;-;-;-;22320;353373;42356;52952;-;-;-;2255;32210;817;2898;-;-;-;1286;22268;2485;2312;-;-;-
31.12.2000;58-Jährige;35466;357752;11986;42436;-;-;-;22455;341516;46389;49363;-;-;-;2264;33742;859;2810;-;-;-;1257;21898;2635;2249;-;-;-
31.12.2000;59-Jährige;42380;443238;16209;48577;-;-;-;26811;421007;63414;57476;-;-;-;2045;31237;843;2646;-;-;-;1254;19037;2687;2141;-;-;-
31.12.2000;60-Jährige;42726;468250;19631;47493;-;-;-;28240;440677;77272;57586;-;-;-;2128;33387;1096;2714;-;-;-;1246;19927;3285;2112;-;-;-
31.12.2000;61-Jährige;39536;464323;20480;43335;-;-;-;28409;432216;83913;53655;-;-;-;1785;29843;1014;2421;-;-;-;1103;16841;3121;1930;-;-;-
31.12.2000;62-Jährige;34936;433692;21050;37757;-;-;-;27509;397608;87808;47415;-;-;-;1722;27679;988;2187;-;-;-;1131;15814;3258;1900;-;-;-
31.12.2000;63-Jährige;30755;405955;21763;32742;-;-;-;26716;366345;91633;42275;-;-;-;1682;24384;997;1846;-;-;-;1072;13845;3074;1700;-;-;-
