Tabelle: 23211-0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;männlich;;;;;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;;;;;
;;Altersgruppen;;;;;;;;;;;;;;;;;;Altersgruppen;;;;;;;;;;;;;;;;;
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt
2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TDU-01;Bestimmte infektiöse und parasitäre Krankheiten;12;28;4;8;9;30;60;69;106;163;354;559;723;983;1062;1883;3199;-;9;16;5;5;12;19;34;57;61;84;178;316;411;725;866;1842;5059;-
TDU-011;Tuberkulose einschließlich ihrer Folgezustände;-;-;-;-;.;3;-;5;6;5;16;13;14;11;20;26;32;-;-;.;-;.;.;-;.;.;3;3;7;6;.;16;7;19;37;-
TDU-012;Meningokokkeninfektion;3;4;.;.;-;-;-;.;-;-;3;-;-;.;.;.;.;-;-;.;-;-;-;.;-;.;.;.;-;.;.;.;.;.;.;-
TDU-013;Virushepatitis;-;-;-;-;-;5;8;15;16;29;35;45;35;30;18;28;17;-;-;-;-;-;-;-;3;11;4;3;10;8;17;18;15;17;51;-
TDU-014;HIV-Krankheit;-;-;-;-;-;7;14;16;22;19;29;36;24;13;15;9;10;-;-;-;.;-;-;3;11;8;4;6;4;11;3;3;3;.;.;-
TDU-02;Neubildungen;8;146;58;105;109;237;434;717;1205;2900;6663;11982;16229;18870;17989;23172;26753;-;6;106;50;58;104;258;523;931;1497;2859;5700;9115;11512;14026;14180;20103;29783;-
TDU-021;Bösartige Neubildungen (BN);6;139;55;102;104;232;427;700;1186;2855;6551;11798;15920;18478;17509;22296;25260;-;5;98;48;57;100;256;517;917;1479;2818;5624;8966;11316;13742;13768;19282;27781;-
TDU-02101;BN der Lippe, der Mundhöhle und des Pharynx;-;-;.;3;3;.;12;26;58;159;389;649;700;632;474;397;345;-;-;.;.;.;.;.;11;18;20;41;103;175;219;225;198;227;321;-
TDU-02102;BN des Ösophagus;-;-;-;-;.;9;18;24;65;155;386;633;767;728;571;651;490;-;-;-;-;-;.;-;.;8;14;30;66;128;194;195;201;238;335;-
TDU-02103;BN des Magens;-;-;.;.;5;16;35;60;81;166;339;516;633;626;580;789;828;-;-;-;-;-;4;14;25;41;59;91;158;238;286;377;362;551;972;-
TDU-02104;BN des Dickdarms;-;-;.;.;6;17;38;51;83;188;341;601;832;1036;994;1383;1683;-;-;-;.;.;6;15;29;52;90;158;249;382;491;760;792;1380;2588;-
TDU-02105;BN des Rektums, des Anus und am Rektosigmoid;-;-;-;.;4;13;28;42;71;170;328;557;666;734;692;827;880;-;-;-;-;-;.;6;19;32;59;90;184;312;354;407;398;589;1007;-
TDU-02106;BN der Leber, der Gallenwege und des Pankreas;.;.;.;-;6;17;41;81;154;431;961;1761;2414;2739;2691;3036;2653;-;.;3;-;3;7;7;25;61;97;244;623;1100;1563;1889;2091;2932;3780;-
TDU-021061;BN der Leber und der intrahepatischen Gallengänge;.;.;.;-;5;10;16;22;48;116;294;567;851;1009;907;976;746;-;.;3;-;3;5;3;18;18;29;62;125;208;368;426;439;539;668;-
TDU-021062;BN des Pankreas;-;-;-;-;.;4;20;54;93;285;610;1077;1385;1503;1528;1701;1583;-;-;-;-;-;.;4;5;38;57;151;434;753;1030;1198;1409;2022;2587;-
TDU-02107;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;-;-;-;3;5;10;33;88;207;638;1788;3476;4789;5176;4121;4075;3141;-;-;-;-;.;.;14;22;78;156;469;1248;2313;3095;3489;2873;2793;2365;-
TDU-021071;BN der Bronchien und der Lunge;-;-;-;.;5;10;33;84;200;599;1714;3333;4617;4963;3974;3908;2999;-;-;-;-;.;.;13;22;78;150;465;1234;2278;3064;3454;2846;2763;2338;-
TDU-02108;Melanom und sonstige bösartige Neubild. der Haut;-;.;-;.;.;11;28;28;32;70;130;191;242;286;311;473;872;-;-;.;.;.;3;9;9;29;32;58;107;116;142;157;178;296;800;-
TDU-021081;Bösartiges Melanom der Haut;-;.;-;.;.;11;26;27;31;65;113;169;208;226;236;329;420;-;-;.;.;.;3;9;9;29;28;53;101;104;116;127;142;217;380;-
TDU-02109;BN der Brustdrüse;-;-;-;-;-;-;-;3;4;7;12;13;15;13;19;31;66;-;-;-;-;.;11;75;185;302;504;731;1203;1507;1634;1872;2095;3225;5191;-
TDU-02110;BN der Genital- und Harnorgane;-;.;.;6;6;15;15;54;90;232;592;1381;2235;3320;3763;6014;9038;-;.;4;-;.;11;41;84;148;210;439;865;1410;1607;2001;2034;3005;4349;-
TDU-021101;BN der Cervix uteri;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;.;14;39;63;77;98;154;190;154;184;136;147;182;-
TDU-021102;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;3;8;23;70;148;232;318;398;322;509;627;-
TDU-021103;BN des Ovars;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;11;22;39;70;160;329;564;604;681;719;906;1001;-
TDU-021104;BN der Prostata;-;-;-;-;-;-;-;5;16;58;210;575;1105;1755;2220;3814;5710;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
TDU-021105;BN der Niere, ausgenommen Nierenbecken;-;.;-;.;.;.;.;12;32;63;165;291;391;458;419;575;715;-;.;4;-;.;-;3;3;4;8;26;62;105;135;210;232;409;739;-
TDU-021106;BN der Harnblase;-;-;-;-;-;-;3;9;12;42;91;235;344;511;525;825;1488;-;-;-;-;-;.;.;6;9;10;30;48;92;133;167;207;386;836;-
TDU-02111;BN d. lymphat., blutbild. u. verwandten Gewebes;-;40;17;26;18;26;53;70;89;161;403;684;1025;1398;1641;2392;2661;-;.;15;12;12;18;18;27;44;64;102;232;400;630;984;1189;2047;2798;-
TDU-021111;Leukämie;-;34;11;18;11;12;31;28;36;53;153;268;434;585;733;1005;1115;-;.;10;10;9;10;9;19;27;30;56;108;174;254;409;499;801;1213;-
TDU-022;Gutartige Neubildungen;.;.;-;-;.;.;.;4;4;8;14;20;45;33;52;73;115;-;-;.;-;-;.;.;.;5;3;11;16;35;29;35;72;104;186;-
TDU-03;Krankheiten des Blutes u. der blutbildenden Organe;4;10;3;6;9;3;15;16;29;28;76;124;158;216;239;464;890;-;4;4;-;.;4;5;10;14;20;23;54;65;100;147;251;501;1635;-
TDU-04;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;17;34;13;17;31;34;96;165;257;421;755;1210;1589;1849;2085;3333;6363;-;11;21;7;14;13;30;71;69;96;187;378;540;790;1270;1680;3476;12378;-
TDU-041;Diabetes mellitus;-;.;.;10;12;12;44;82;131;254;464;807;1125;1323;1527;2345;4235;-;-;-;-;.;7;13;28;22;39;69;183;285;448;773;1086;2246;7493;-
